Keywords,area,sqft,bedroom,bath,name,property type,completion year,no of floors,Furnishing Status,Number of Carpark,Floor Range,Deposit,Tenant Preference,PropertyID,Squash Court,Lift,Near KTM/LRT,Railway Station,Air-Cond,Security,Swimming Pool,School,Minimart,Cooking Allowed,Mall,Parking,Washing Machine,Gymnasium,Playground,Multipurpose hall,Park,Jogging Track,Tennis Court,Internet,Sauna,Barbeque area,area_sqft_numeric,cleaned_location,powerbi_location,State_Province,Country
"RM 6,880 per month",2 Hampshire,"2,440",3,5,Your Dream Home in KLCC – 2Hampshire Condo for Rent (Move-In Ready!),,,,Not Stated,,Not Stated,,"Male, Female",112973382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2440,KLCC,"KLCC, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 250 per month,Cheras,800,,,"Bilik Sewa Cemara Apartment, Bandar Sri Permaisuri, Cheras, Near LRT",,,,Not Stated,,Not Stated,,Male,63964553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,700 per month",Twinz Residences,"1,156",3,2,Twinz Residence Puchong 3R2B2CP P/F Jalan Pipit Puchong Jaya Koi,,,,Not Stated,,Not Stated,,"Male, Female",112929296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1156,Puchong,"Puchong, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,400 per month",NOVO Reserve,686,2,2,Novo Ampang KL Fully furnished with 2 living n 2 room,,,,Not Stated,,Not Stated,,"Male, Female, Couple",112973126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,686,Ampang Hilir,"Ampang Hilir, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,100 per month",Sky Suites @ KLCC,800,3,2,Sky Suites KLCC Limited Unit (3Room2Bath) Affordable Price,,,,Not Stated,,Not Stated,,"Male, Female",112973108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,KLCC,"KLCC, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,400 per month",Sky Suites @ KLCC,700,2,2,"Sky Suites KLCC Affordable Price Unit , Good Condition (2R2B)",,,,Not Stated,,Not Stated,,Female,112973101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,KLCC,"KLCC, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,500 per month",Razak City Residences (RC Residence),"1,060",3,3,Permaisuri 3R3B utk SEWA Sungai Besi Cheras Salak Selatan TRX LRT MRT,,,,Not Stated,,Not Stated,,"Male, Female, Couple",112973089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060,Sungai Besi,"Sungai Besi, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 400 per month,Sentul,335,,,"Bilik Sewa Melur Apartment, Sentul, Near LRT (Fully Furnished)",,,,Not Stated,,Not Stated,,Female,109377724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 6,000 per month",Taman Melawati,"1,400",,,Taman Melawati Ground Floor Shop Nearby 99 Speedmart Great Location,Shop lot,,,Not Stated,,Not Stated,,Male,112973048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 7,500 per month",Star Residences One,"1,206",3,2,Star Two KLCC  With ID,,,,Not Stated,,Not Stated,,Male,112973059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,KLCC,"KLCC, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,600 per month",Vista Danau Kota,810,3,2,Walking distance to SK Danau Kota | Vista Danau Kota Setapak for rent,,,,Not Stated,,Not Stated,,"Male, Female",112972944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 850 per month,Perumahan Awam Seri Langkawi 2,550,2,1,SRI Langkawi 2 Flat FOR RENT!!!,,,,Not Stated,,Not Stated,,"Male, Female",112973015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 750 per month,Sunway SPK,1,,,Medium Room RM7xx Near to Sunway🔥,,,,Not Stated,,Not Stated,,Male,112973013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 900 per month,Bukit Jalil,1,,,Balcony Room  LRT🔥,,,,Not Stated,,Not Stated,,Female,112973004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 450 per month,Kepong,300,,,Kepong Sentral Condo FEMALE ROOM [ F/FURNISHED ] Walking to MRT/ KTM,,,,Not Stated,,Not Stated,,"Male, Female",112972995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,600 per month",The Scott Garden SOHO,900,2,1,The Scott Garden Fully/F Old Klang Road Jalan Klang Lama Mid Valley,,,,Not Stated,,Not Stated,,"Male, Couple",112972984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,Old Klang Road,"Old Klang Road, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,600 per month",Titiwangsa Sentral,"1,150",3,2,Titiwangsa Sentral Condo Kuala Lumpur 3R2B F/F Hospital HKL,,,,Not Stated,,Not Stated,,"Male, Couple",112906120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150,Titiwangsa,"Titiwangsa, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
